CCDS-r9	CCDS-r11	CCDS-r12	CCDS-r14	CCDS-r15
DOK6	DOK6	DOK6	DOK6	DOK6
C18orf62	C18orf62	SMIM21	SMIM21	SMIM21
TXNL4A	TXNL4A	TXNL4A	TXNL4A	TXNL4A
ADNP2	ADNP2	ADNP2	ADNP2	ADNP2
OR4F17	OR4F17	OR4F17	OR4F17	OR4F17
MIER2	MIER2	MIER2	MIER2	MIER2
PALM	PALM	PALM	PALM	PALM
PTBP1	PTBP1	PTBP1	PTBP1	PTBP1
PRTN3	PRTN3	PRTN3	PRTN3	PRTN3
GRIN3B	GRIN3B	GRIN3B	GRIN3B	GRIN3B
HMHA1	HMHA1	HMHA1	HMHA1	HMHA1
MIDN	MIDN	MIDN	MIDN	MIDN
MEX3D	MEX3D	MEX3D	MEX3D	MEX3D
REXO1	REXO1	REXO1	REXO1	REXO1
FAM108A1	FAM108A1	ABHD17A	ABHD17A	ABHD17A
GADD45B	GADD45B	GADD45B	GADD45B	GADD45B
NCLN	NCLN	NCLN	NCLN	NCLN
GIPC3	GIPC3	GIPC3	GIPC3	GIPC3
PIP5K1C	PIP5K1C	PIP5K1C	PIP5K1C	PIP5K1C
TJP3	TJP3	TJP3	TJP3	TJP3
SH3GL1	SH3GL1	SH3GL1	SH3GL1	SH3GL1
CHAF1A	CHAF1A	CHAF1A	CHAF1A	CHAF1A
SAFB2	SAFB2	SAFB2	SAFB2	SAFB2
DUS3L	DUS3L	DUS3L	DUS3L	DUS3L
VMAC	VMAC	VMAC	VMAC	VMAC
SLC25A23	SLC25A23	SLC25A23	SLC25A23	SLC25A23
C3	C3	C3	C3	C3
ZNF358	ZNF358	ZNF358	ZNF358	ZNF358
PNPLA6	PNPLA6	PNPLA6	PNPLA6	PNPLA6
XAB2	XAB2	XAB2	XAB2	XAB2
PCP2	PCP2	PCP2	PCP2	PCP2
OR2Z1	OR2Z1	OR2Z1	OR2Z1	OR2Z1
OR1M1	OR1M1	OR1M1	OR1M1	OR1M1
OR7G2	OR7G2	OR7G2	OR7G2	OR7G2
OR7G1	OR7G1	OR7G1	OR7G1	OR7G1
OR7G3	OR7G3	OR7G3	OR7G3	OR7G3
OR7D2	OR7D2	OR7D2	OR7D2	OR7D2
OR7D4	OR7D4	OR7D4	OR7D4	OR7D4
ZNF121	ZNF121	ZNF121	ZNF121	ZNF121
FDX1L	FDX1L	FDX1L	FDX1L	FDX1L
DNM2	DNM2	DNM2	DNM2	DNM2
TMEM205	TMEM205	TMEM205	TMEM205	TMEM205
RGL3	RGL3	RGL3	RGL3	RGL3
PRKCSH	PRKCSH	PRKCSH	PRKCSH	PRKCSH
ELAVL3	ELAVL3	ELAVL3	ELAVL3	ELAVL3
ZNF69	ZNF69	ZNF69	ZNF69	ZNF69
ZNF700	ZNF700	ZNF700	ZNF700	ZNF700
ZNF136	ZNF136	ZNF136	ZNF136	ZNF136
ZNF443	ZNF443	ZNF443	ZNF443	ZNF443
MAN2B1	MAN2B1	MAN2B1	MAN2B1	MAN2B1
ASNA1	ASNA1	ASNA1	ASNA1	ASNA1
MAST1	MAST1	MAST1	MAST1	MAST1
STX10	STX10	STX10	STX10	STX10
ZSWIM4	ZSWIM4	ZSWIM4	ZSWIM4	ZSWIM4
DCAF15	DCAF15	DCAF15	DCAF15	DCAF15
CD97	CD97	CD97	CD97	CD97
EMR2	EMR2	EMR2	EMR2	EMR2
OR7A10	OR7A10	OR7A10	OR7A10	OR7A10
OR1I1	OR1I1	OR1I1	OR1I1	OR1I1
OR10H5	OR10H5	OR10H5	OR10H5	OR10H5
OR10H4	OR10H4	OR10H4	OR10H4	OR10H4
EPS15L1	EPS15L1	EPS15L1	EPS15L1	EPS15L1
NWD1	NWD1	NWD1	NWD1	NWD1
SIN3B	SIN3B	SIN3B	SIN3B	SIN3B
HAUS8	HAUS8	HAUS8	HAUS8	HAUS8
ANO8	ANO8	ANO8	ANO8	ANO8
GTPBP3	GTPBP3	GTPBP3	GTPBP3	GTPBP3
PLVAP	PLVAP	PLVAP	PLVAP	PLVAP
SLC27A1	SLC27A1	SLC27A1	SLC27A1	SLC27A1
MAP1S	MAP1S	MAP1S	MAP1S	MAP1S
FCHO1	FCHO1	FCHO1	FCHO1	FCHO1
IL12RB1	IL12RB1	IL12RB1	IL12RB1	IL12RB1
KIAA1683	KIAA1683	KIAA1683	KIAA1683	KIAA1683
JUND	JUND	JUND	JUND	JUND
FKBP8	FKBP8	FKBP8	FKBP8	FKBP8
CRLF1	CRLF1	CRLF1	CRLF1	CRLF1
CRTC1	CRTC1	CRTC1	CRTC1	CRTC1
ARMC6	ARMC6	ARMC6	ARMC6	ARMC6
SLC25A42	SLC25A42	SLC25A42	SLC25A42	SLC25A42
NR2C2AP	NR2C2AP	NR2C2AP	NR2C2AP	NR2C2AP
MAU2	MAU2	MAU2	MAU2	MAU2
ATP13A1	ATP13A1	ATP13A1	ATP13A1	ATP13A1
ZNF101	ZNF101	ZNF101	ZNF101	ZNF101
ZNF93	ZNF93	ZNF93	ZNF93	ZNF93
ZNF626	ZNF626	ZNF626	ZNF626	ZNF626
ZNF85	ZNF85	ZNF85	ZNF85	ZNF85
ZNF430	ZNF430	ZNF430	ZNF430	ZNF430
ZNF431	ZNF431	ZNF431	ZNF431	ZNF431
ZNF708	ZNF708	ZNF708	ZNF708	ZNF708
ZNF675	ZNF675	ZNF675	ZNF675	ZNF675
ZNF254	ZNF254	ZNF254	ZNF254	ZNF254
ZNF536	ZNF536	ZNF536	ZNF536	ZNF536
ZNF507	ZNF507	ZNF507	ZNF507	ZNF507
ANKRD27	ANKRD27	ANKRD27	ANKRD27	ANKRD27
CEP89	CEP89	CEP89	CEP89	CEP89
SCGB2B2	SCGB2B2	SCGB2B2	SCGB2B2	SCGB2B2
ZNF181	ZNF181	ZNF181	ZNF181	ZNF181
ZNF599	ZNF599	ZNF599	ZNF599	ZNF599
HPN	HPN	HPN	HPN	HPN
ETV2	ETV2	ETV2	ETV2	ETV2
NPHS1	NPHS1	NPHS1	NPHS1	NPHS1
APLP1	APLP1	APLP1	APLP1	APLP1
HCST	HCST	HCST	HCST	HCST
SDHAF1	SDHAF1	SDHAF1	SDHAF1	SDHAF1
THAP8	THAP8	THAP8	THAP8	THAP8
WDR62	WDR62	WDR62	WDR62	WDR62
ZFP14	ZFP14	ZFP14	ZFP14	ZFP14
ZNF260	ZNF260	ZNF260	ZNF260	ZNF260
ZNF382	ZNF382	ZNF382	ZNF382	ZNF382
ZFP30	ZFP30	ZFP30	ZFP30	ZFP30
ZNF607	ZNF607	ZNF607	ZNF607	ZNF607
SIPA1L3	SIPA1L3	SIPA1L3	SIPA1L3	SIPA1L3
DPF1	DPF1	DPF1	DPF1	DPF1
RYR1	RYR1	RYR1	RYR1	RYR1
LGALS7	LGALS7	LGALS7	LGALS7	LGALS7
ECH1	ECH1	ECH1	ECH1	ECH1
HNRNPL	HNRNPL	HNRNPL	HNRNPL	HNRNPL
SARS2	SARS2	SARS2	SARS2	SARS2
PAPL	PAPL	PAPL	PAPL	PAPL
SAMD4B	SAMD4B	SAMD4B	SAMD4B	SAMD4B
MED29	MED29	MED29	MED29	MED29
PLEKHG2	PLEKHG2	PLEKHG2	PLEKHG2	PLEKHG2
TIMM50	TIMM50	TIMM50	TIMM50	TIMM50
LGALS13	LGALS13	LGALS13	LGALS13	LGALS13
CLC	CLC	CLC	CLC	CLC
ZNF780A	ZNF780A	ZNF780A	ZNF780A	ZNF780A
PLD3	PLD3	PLD3	PLD3	PLD3
BLVRB	BLVRB	BLVRB	BLVRB	BLVRB
RAB4B	RAB4B	RAB4B	RAB4B	RAB4B
TGFB1	TGFB1	TGFB1	TGFB1	TGFB1
ATP5SL	ATP5SL	ATP5SL	ATP5SL	ATP5SL
CEACAM4	CEACAM4	CEACAM4	CEACAM4	CEACAM4
DMRTC2	DMRTC2	DMRTC2	DMRTC2	DMRTC2
POU2F2	POU2F2	POU2F2	POU2F2	POU2F2
PRR19	PRR19	PRR19	PRR19	PRR19
PSG8	PSG8	PSG8	PSG8	PSG8
PSG4	PSG4	PSG4	PSG4	PSG4
IRGQ	IRGQ	IRGQ	IRGQ	IRGQ
SMG9	SMG9	SMG9	SMG9	SMG9
ZNF230	ZNF230	ZNF230	ZNF230	ZNF230
ZNF222	ZNF222	ZNF222	ZNF222	ZNF222
ZNF224	ZNF224	ZNF224	ZNF224	ZNF224
ZNF233	ZNF233	ZNF233	ZNF233	ZNF233
ZNF235	ZNF235	ZNF235	ZNF235	ZNF235
ERCC2	ERCC2	ERCC2	ERCC2	ERCC2
PPP1R13L	PPP1R13L	PPP1R13L	PPP1R13L	PPP1R13L
VASP	VASP	VASP	VASP	VASP
SNRPD2	SNRPD2	SNRPD2	SNRPD2	SNRPD2
DMWD	DMWD	DMWD	DMWD	DMWD
MYPOP	MYPOP	MYPOP	MYPOP	MYPOP
NANOS2	NANOS2	NANOS2	NANOS2	NANOS2
IGFL4	IGFL4	IGFL4	IGFL4	IGFL4
IGFL3	IGFL3	IGFL3	IGFL3	IGFL3
PNMAL1	PNMAL1	PNMAL1	PNMAL1	PNMAL1
CALM3	CALM3	CALM3	CALM3	CALM3
C5AR1	C5AR1	C5AR1	C5AR1	C5AR1
MEIS3	MEIS3	MEIS3	MEIS3	MEIS3
SLC8A2	SLC8A2	SLC8A2	SLC8A2	SLC8A2
TPRX1	TPRX1	TPRX1	TPRX1	TPRX1
NTN5	NTN5	NTN5	NTN5	NTN5
FUT2	FUT2	FUT2	FUT2	FUT2
FTL	FTL	FTL	FTL	FTL
CGB7	CGB7	CGB7	CGB7	CGB7
TRPM4	TRPM4	TRPM4	TRPM4	TRPM4
SCAF1	SCAF1	SCAF1	SCAF1	SCAF1
MED25	MED25	MED25	MED25	MED25
ZNF473	ZNF473	ZNF473	ZNF473	ZNF473
SPIB	SPIB	SPIB	SPIB	SPIB
FAM71E1	FAM71E1	FAM71E1	FAM71E1	FAM71E1
ASPDH	ASPDH	ASPDH	ASPDH	ASPDH
CD33	CD33	CD33	CD33	CD33
SIGLEC8	SIGLEC8	SIGLEC8	SIGLEC8	SIGLEC8
SIGLEC5	SIGLEC5	SIGLEC5	SIGLEC5	SIGLEC5
ZNF616	ZNF616	ZNF616	ZNF616	ZNF616
ZNF528	ZNF528	ZNF528	ZNF528	ZNF528
ZNF701	ZNF701	ZNF701	ZNF701	ZNF701
ZNF28	ZNF28	ZNF28	ZNF28	ZNF28
ZNF468	ZNF468	ZNF468	ZNF468	ZNF468
ZNF320	ZNF320	ZNF320	ZNF320	ZNF320
ZNF816	ZNF816	ZNF816	ZNF816	ZNF816
ZNF347	ZNF347	ZNF347	ZNF347	ZNF347
VN1R4	VN1R4	VN1R4	VN1R4	VN1R4
ZNF331	ZNF331	ZNF331	ZNF331	ZNF331
DPRX	DPRX	DPRX	DPRX	DPRX
CACNG8	CACNG8	CACNG8	CACNG8	CACNG8
LILRB3	LILRB3	LILRB3	LILRB3	LILRB3
KIR2DL3	KIR2DL3	KIR2DL3	KIR2DL3	KIR2DL3
PTPRH	PTPRH	PTPRH	PTPRH	PTPRH
HSPBP1	HSPBP1	HSPBP1	HSPBP1	HSPBP1
TMEM190	TMEM190	TMEM190	TMEM190	TMEM190
UBE2S	UBE2S	UBE2S	UBE2S	UBE2S
ZNF628	ZNF628	ZNF628	ZNF628	ZNF628
CCDC106	CCDC106	CCDC106	CCDC106	CCDC106
NLRP13	NLRP13	NLRP13	NLRP13	NLRP13
ZNF582	ZNF582	ZNF582	ZNF582	ZNF582
ZNF470	ZNF470	ZNF470	ZNF470	ZNF470
ZIM2	ZIM2	ZIM2	ZIM2	ZIM2
USP29	USP29	USP29	USP29	USP29
ZIM3	ZIM3	ZIM3	ZIM3	ZIM3
DUXA	DUXA	DUXA	DUXA	DUXA
ZNF264	ZNF264	ZNF264	ZNF264	ZNF264
AURKC	AURKC	AURKC	AURKC	AURKC
ZNF543	ZNF543	ZNF543	ZNF543	ZNF543
ZNF547	ZNF547	ZNF547	ZNF547	ZNF547
ZNF749	ZNF749	ZNF749	ZNF749	ZNF749
ZNF772	ZNF772	ZNF772	ZNF772	ZNF772
ZNF773	ZNF773	ZNF773	ZNF773	ZNF773
ZIK1	ZIK1	ZIK1	ZIK1	ZIK1
ZNF324B	ZNF324B	ZNF324B	ZNF324B	ZNF324B
TMEM18	TMEM18	TMEM18	TMEM18	TMEM18
TAF1B	TAF1B	TAF1B	TAF1B	TAF1B
GRHL1	GRHL1	GRHL1	GRHL1	GRHL1
CYS1	CYS1	CYS1	CYS1	CYS1
GREB1	GREB1	GREB1	GREB1	GREB1
NT5C1B	NT5C1B	NT5C1B	NT5C1B	NT5C1B
TTC32	TTC32	TTC32	TTC32	TTC32
PTRHD1	PTRHD1	PTRHD1	PTRHD1	PTRHD1
GPR113	GPR113	GPR113	GPR113	GPR113
CIB4	CIB4	CIB4	CIB4	CIB4
CGREF1	CGREF1	CGREF1	CGREF1	CGREF1
TCF23	TCF23	TCF23	TCF23	TCF23
EIF2B4	EIF2B4	EIF2B4	EIF2B4	EIF2B4
SLC4A1AP	SLC4A1AP	SLC4A1AP	SLC4A1AP	SLC4A1AP
PLB1	PLB1	PLB1	PLB1	PLB1
PPP1CB	PPP1CB	PPP1CB	PPP1CB	PPP1CB
ALK	ALK	ALK	ALK	ALK
LBH	LBH	LBH	LBH	LBH
NLRC4	NLRC4	NLRC4	NLRC4	NLRC4
BIRC6	BIRC6	BIRC6	BIRC6	BIRC6
TTC27	TTC27	TTC27	TTC27	TTC27
LTBP1	LTBP1	LTBP1	LTBP1	LTBP1
FAM98A	FAM98A	FAM98A	FAM98A	FAM98A
VIT	VIT	VIT	VIT	VIT
HEATR5B	HEATR5B	HEATR5B	HEATR5B	HEATR5B
SULT6B1	SULT6B1	SULT6B1	SULT6B1	SULT6B1
SRSF7	SRSF7	SRSF7	SRSF7	SRSF7
CDKL4	CDKL4	CDKL4	CDKL4	CDKL4
PKDCC	PKDCC	PKDCC	PKDCC	PKDCC
HAAO	HAAO	HAAO	HAAO	HAAO
LRPPRC	LRPPRC	LRPPRC	LRPPRC	LRPPRC
PREPL	PREPL	PREPL	PREPL	PREPL
RHOQ	RHOQ	RHOQ	RHOQ	RHOQ
MCFD2	MCFD2	MCFD2	MCFD2	MCFD2
TTC7A	TTC7A	TTC7A	TTC7A	TTC7A
CHAC2	CHAC2	CHAC2	CHAC2	CHAC2
PSME4	PSME4	PSME4	PSME4	PSME4
SPTBN1	SPTBN1	SPTBN1	SPTBN1	SPTBN1
C2orf63	CLHC1	CLHC1	CLHC1	CLHC1
RPS27A	RPS27A	RPS27A	RPS27A	RPS27A
CCDC88A	CCDC88A	CCDC88A	CCDC88A	CCDC88A
XPO1	XPO1	XPO1	XPO1	XPO1
CCT4	CCT4	CCT4	CCT4	CCT4
VPS54	VPS54	VPS54	VPS54	VPS54
SERTAD2	SERTAD2	SERTAD2	SERTAD2	SERTAD2
SPRED2	SPRED2	SPRED2	SPRED2	SPRED2
FBXO48	FBXO48	FBXO48	FBXO48	FBXO48
ARHGAP25	ARHGAP25	ARHGAP25	ARHGAP25	ARHGAP25
GKN2	GKN2	GKN2	GKN2	GKN2
GFPT1	GFPT1	GFPT1	GFPT1	GFPT1
NFU1	NFU1	NFU1	NFU1	NFU1
SNRNP27	SNRNP27	SNRNP27	SNRNP27	SNRNP27
NAGK	NAGK	NAGK	NAGK	NAGK
SMYD5	SMYD5	SMYD5	SMYD5	SMYD5
BOLA3	BOLA3	BOLA3	BOLA3	BOLA3
LBX2	LBX2	LBX2	LBX2	LBX2
C2orf65	C2orf65	M1AP	M1AP	M1AP
TMEM150A	TMEM150A	TMEM150A	TMEM150A	TMEM150A
USP39	USP39	USP39	USP39	USP39
PTCD3	PTCD3	PTCD3	PTCD3	PTCD3
CHMP3	CHMP3	CHMP3	CHMP3	CHMP3
RNF103	RNF103	RNF103	RNF103	RNF103
PLGLB1	PLGLB1	PLGLB1	PLGLB1	PLGLB1
SMYD1	SMYD1	SMYD1	SMYD1	SMYD1
EIF2AK3	EIF2AK3	EIF2AK3	EIF2AK3	EIF2AK3
ASTL	ASTL	ASTL	ASTL	ASTL
ITPRIPL1	ITPRIPL1	ITPRIPL1	ITPRIPL1	ITPRIPL1
ARID5A	ARID5A	ARID5A	ARID5A	ARID5A
FAM178B	FAM178B	FAM178B	FAM178B	FAM178B
ZAP70	ZAP70	ZAP70	ZAP70	ZAP70
COA5	COA5	COA5	COA5	COA5
AFF3	AFF3	AFF3	AFF3	AFF3
NMS	NMS	NMS	NMS	NMS
PDCL3	PDCL3	PDCL3	PDCL3	PDCL3
SLC9A4	SLC9A4	SLC9A4	SLC9A4	SLC9A4
POU3F3	POU3F3	POU3F3	POU3F3	POU3F3
NCK2	NCK2	NCK2	NCK2	NCK2
SULT1C3	SULT1C3	SULT1C3	SULT1C3	SULT1C3
GCC2	GCC2	GCC2	GCC2	GCC2
SOWAHC	SOWAHC	SOWAHC	SOWAHC	SOWAHC
BUB1	BUB1	BUB1	BUB1	BUB1
TMEM87B	TMEM87B	TMEM87B	TMEM87B	TMEM87B
PSD4	PSD4	PSD4	PSD4	PSD4
ACTR3	ACTR3	ACTR3	ACTR3	ACTR3
DPP10	DPP10	DPP10	DPP10	DPP10
TMEM37	TMEM37	TMEM37	TMEM37	TMEM37
PCDP1	PCDP1	PCDP1	PCDP1	PCDP1
GLI2	GLI2	GLI2	GLI2	GLI2
TSN	TSN	TSN	TSN	TSN
CYP27C1	CYP27C1	CYP27C1	CYP27C1	CYP27C1
CFC1B	CFC1B	CFC1B	CFC1B	CFC1B
TUBA3D	TUBA3D	TUBA3D	TUBA3D	TUBA3D
RAB3GAP1	RAB3GAP1	RAB3GAP1	RAB3GAP1	RAB3GAP1
CXCR4	CXCR4	CXCR4	CXCR4	CXCR4
SPOPL	SPOPL	SPOPL	SPOPL	SPOPL
ACVR2A	ACVR2A	ACVR2A	ACVR2A	ACVR2A
MBD5	MBD5	MBD5	MBD5	MBD5
CCDC148	CCDC148	CCDC148	CCDC148	CCDC148
PKP4	PKP4	PKP4	PKP4	PKP4
DAPL1	DAPL1	DAPL1	DAPL1	DAPL1
CD302	CD302	CD302	CD302	CD302
PLA2R1	PLA2R1	PLA2R1	PLA2R1	PLA2R1
TBR1	TBR1	TBR1	TBR1	TBR1
FAP	FAP	FAP	FAP	FAP
SCN3A	SCN3A	SCN3A	SCN3A	SCN3A
SCN2A	SCN2A	SCN2A	SCN2A	SCN2A
TTC21B	TTC21B	TTC21B	TTC21B	TTC21B
SCN1A	SCN1A	SCN1A	SCN1A	SCN1A
FASTKD1	FASTKD1	FASTKD1	FASTKD1	FASTKD1
PHOSPHO2	PHOSPHO2	PHOSPHO2	PHOSPHO2	PHOSPHO2
METTL5	METTL5	METTL5	METTL5	METTL5
SP5	SP5	SP5	SP5	SP5
GORASP2	GORASP2	GORASP2	GORASP2	GORASP2
SLC25A12	SLC25A12	SLC25A12	SLC25A12	SLC25A12
KIAA1715	KIAA1715	KIAA1715	KIAA1715	KIAA1715
EVX2	EVX2	EVX2	EVX2	EVX2
PDE11A	PDE11A	PDE11A	PDE11A	PDE11A
RBM45	RBM45	RBM45	RBM45	RBM45
PLEKHA3	PLEKHA3	PLEKHA3	PLEKHA3	PLEKHA3
TTN	TTN	TTN	TTN	TTN
SESTD1	SESTD1	SESTD1	SESTD1	SESTD1
ZNF385B	ZNF385B	ZNF385B	ZNF385B	ZNF385B
CERKL	CERKL	CERKL	CERKL	CERKL
DNAJC10	DNAJC10	DNAJC10	DNAJC10	DNAJC10
FAM171B	FAM171B	FAM171B	FAM171B	FAM171B
ZSWIM2	ZSWIM2	ZSWIM2	ZSWIM2	ZSWIM2
COL5A2	COL5A2	COL5A2	COL5A2	COL5A2
ANKAR	ANKAR	ANKAR	ANKAR	ANKAR
NABP1	NABP1	NABP1	NABP1	NABP1
SLC39A10	SLC39A10	SLC39A10	SLC39A10	SLC39A10
HECW2	HECW2	HECW2	HECW2	HECW2
ANKRD44	ANKRD44	ANKRD44	ANKRD44	ANKRD44
SF3B1	SF3B1	SF3B1	SF3B1	SF3B1
HSPD1	HSPD1	HSPD1	HSPD1	HSPD1
MARS2	MARS2	MARS2	MARS2	MARS2
AOX1	AOX1	AOX1	AOX1	AOX1
BMPR2	BMPR2	BMPR2	BMPR2	BMPR2
FAM117B	FAM117B	FAM117B	FAM117B	FAM117B
MDH1B	MDH1B	MDH1B	MDH1B	MDH1B
FZD5	FZD5	FZD5	FZD5	FZD5
CRYGA	CRYGA	CRYGA	CRYGA	CRYGA
KANSL1L	KANSL1L	KANSL1L	KANSL1L	KANSL1L
ABCA12	ABCA12	ABCA12	ABCA12	ABCA12
PECR	PECR	PECR	PECR	PECR
MARCH4	MARCH4	MARCH4	MARCH4	MARCH4
AAMP	AAMP	AAMP	AAMP	AAMP
RQCD1	RQCD1	RQCD1	RQCD1	RQCD1
IHH	IHH	IHH	IHH	IHH
RESP18	RESP18	RESP18	RESP18	RESP18
DES	DES	DES	DES	DES
TMEM198	TMEM198	TMEM198	TMEM198	TMEM198
WDFY1	WDFY1	WDFY1	WDFY1	WDFY1
C2orf83	C2orf83	C2orf83	C2orf83	C2orf83
SPHKAP	SPHKAP	SPHKAP	SPHKAP	SPHKAP
DNER	DNER	DNER	DNER	DNER
TRIP12	TRIP12	TRIP12	TRIP12	TRIP12
SP140	SP140	SP140	SP140	SP140
NCL	NCL	NCL	NCL	NCL
PDE6D	PDE6D	PDE6D	PDE6D	PDE6D
CHRNG	CHRNG	CHRNG	CHRNG	CHRNG
GIGYF2	GIGYF2	GIGYF2	GIGYF2	GIGYF2
UGT1A8	UGT1A8	UGT1A8	UGT1A8	UGT1A8
UGT1A10	UGT1A10	UGT1A10	UGT1A10	UGT1A10
UGT1A5	UGT1A5	UGT1A5	UGT1A5	UGT1A5
UGT1A4	UGT1A4	UGT1A4	UGT1A4	UGT1A4
HJURP	HJURP	HJURP	HJURP	HJURP
TRPM8	TRPM8	TRPM8	TRPM8	TRPM8
COL6A3	COL6A3	COL6A3	COL6A3	COL6A3
TRAF3IP1	TRAF3IP1	TRAF3IP1	TRAF3IP1	TRAF3IP1
ASB1	ASB1	ASB1	ASB1	ASB1
PRR21	PRR21	PRR21	PRR21	PRR21
DUSP28	DUSP28	DUSP28	DUSP28	DUSP28
CAPN10	CAPN10	CAPN10	CAPN10	CAPN10
ANO7	ANO7	ANO7	ANO7	ANO7
FARP2	FARP2	FARP2	FARP2	FARP2
ING5	ING5	ING5	ING5	ING5
D2HGDH	D2HGDH	D2HGDH	D2HGDH	D2HGDH
GAL3ST2	GAL3ST2	GAL3ST2	GAL3ST2	GAL3ST2
PDCD1	PDCD1	PDCD1	PDCD1	PDCD1
DEFB128	DEFB128	DEFB128	DEFB128	DEFB128
TCF15	TCF15	TCF15	TCF15	TCF15
TGM3	TGM3	TGM3	TGM3	TGM3
C20orf27	C20orf27	C20orf27	C20orf27	C20orf27
MAVS	MAVS	MAVS	MAVS	MAVS
C20orf94	SLX4IP	SLX4IP	SLX4IP	SLX4IP
CRNKL1	CRNKL1	CRNKL1	CRNKL1	CRNKL1
C20orf26	C20orf26	C20orf26	C20orf26	C20orf26
CST9	CST9	CST9	CST9	CST9
GINS1	GINS1	GINS1	GINS1	GINS1
NINL	NINL	NINL	NINL	NINL
DEFB121	DEFB121	DEFB121	DEFB121	DEFB121
DEFB124	DEFB124	DEFB124	DEFB124	DEFB124
XKR7	XKR7	XKR7	XKR7	XKR7
HCK	HCK	HCK	HCK	HCK
ACTL10	ACTL10	ACTL10	ACTL10	ACTL10
C20orf118	C20orf118	TLDC2	TLDC2	TLDC2
KIAA1755	KIAA1755	KIAA1755	KIAA1755	KIAA1755
LPIN3	LPIN3	LPIN3	LPIN3	LPIN3
IFT52	IFT52	IFT52	IFT52	IFT52
FITM2	FITM2	FITM2	FITM2	FITM2
WFDC5	WFDC5	WFDC5	WFDC5	WFDC5
SPINT4	SPINT4	SPINT4	SPINT4	SPINT4
WFDC3	WFDC3	WFDC3	WFDC3	WFDC3
ZNF334	ZNF334	ZNF334	ZNF334	ZNF334
RNF114	RNF114	RNF114	RNF114	RNF114
PARD6B	PARD6B	PARD6B	PARD6B	PARD6B
ATP9A	ATP9A	ATP9A	ATP9A	ATP9A
TSHZ2	TSHZ2	TSHZ2	TSHZ2	TSHZ2
CYP24A1	CYP24A1	CYP24A1	CYP24A1	CYP24A1
CASS4	CASS4	CASS4	CASS4	CASS4
FAM209A	FAM209A	FAM209A	FAM209A	FAM209A
FAM209B	FAM209B	FAM209B	FAM209B	FAM209B
RAB22A	RAB22A	RAB22A	RAB22A	RAB22A
VAPB	VAPB	VAPB	VAPB	VAPB
TAF4	TAF4	TAF4	TAF4	TAF4
LAMA5	LAMA5	LAMA5	LAMA5	LAMA5
CABLES2	CABLES2	CABLES2	CABLES2	CABLES2
BHLHE23	BHLHE23	BHLHE23	BHLHE23	BHLHE23
C20orf201	C20orf201	C20orf201	C20orf201	C20orf201
USP25	USP25	USP25	USP25	USP25
CXADR	CXADR	CXADR	CXADR	CXADR
ADAMTS1	ADAMTS1	ADAMTS1	ADAMTS1	ADAMTS1
N6AMT1	N6AMT1	N6AMT1	N6AMT1	N6AMT1
LTN1	LTN1	LTN1	LTN1	LTN1
CCT8	CCT8	CCT8	CCT8	CCT8
GRIK1	GRIK1	GRIK1	GRIK1	GRIK1
KRTAP27-1	KRTAP27-1	KRTAP27-1	KRTAP27-1	KRTAP27-1
KRTAP23-1	KRTAP23-1	KRTAP23-1	KRTAP23-1	KRTAP23-1
KRTAP19-4	KRTAP19-4	KRTAP19-4	KRTAP19-4	KRTAP19-4
SOD1	SOD1	SOD1	SOD1	SOD1
SCAF4	SCAF4	SCAF4	SCAF4	SCAF4
SYNJ1	SYNJ1	SYNJ1	SYNJ1	SYNJ1
IFNGR2	IFNGR2	IFNGR2	IFNGR2	IFNGR2
ITSN1	ITSN1	ITSN1	ITSN1	ITSN1
MRPS6	MRPS6	MRPS6	MRPS6	MRPS6
SLC5A3	SLC5A3	SLC5A3	SLC5A3	SLC5A3
FAM165B	SMIM11	SMIM11	SMIM11	SMIM11
DSCR3	DSCR3	DSCR3	DSCR3	DSCR3
DSCR4	DSCR4	DSCR4	DSCR4	DSCR4
HMGN1	HMGN1	HMGN1	HMGN1	HMGN1
IGSF5	IGSF5	IGSF5	IGSF5	IGSF5
PCP4	PCP4	PCP4	PCP4	PCP4
TMPRSS2	TMPRSS2	TMPRSS2	TMPRSS2	TMPRSS2
TFF3	TFF3	TFF3	TFF3	TFF3
NDUFV3	NDUFV3	NDUFV3	NDUFV3	NDUFV3
SIK1	SIK1	SIK1	SIK1	SIK1
RRP1B	RRP1B	RRP1B	RRP1B	RRP1B
PWP2	PWP2	PWP2	PWP2	PWP2
C21orf33	C21orf33	C21orf33	C21orf33	C21orf33
PFKL	PFKL	PFKL	PFKL	PFKL
KRTAP10-10	KRTAP10-10	KRTAP10-10	KRTAP10-10	KRTAP10-10
SUMO3	SUMO3	SUMO3	SUMO3	SUMO3
ADARB1	ADARB1	ADARB1	ADARB1	ADARB1
YBEY	YBEY	YBEY	YBEY	YBEY
PCNT	PCNT	PCNT	PCNT	PCNT
OR11H1	OR11H1	OR11H1	OR11H1	OR11H1
DGCR2	DGCR2	DGCR2	DGCR2	DGCR2
C22orf39	C22orf39	C22orf39	C22orf39	C22orf39
PI4KA	PI4KA	PI4KA	PI4KA	PI4KA
LZTR1	LZTR1	LZTR1	LZTR1	LZTR1
SLC7A4	SLC7A4	SLC7A4	SLC7A4	SLC7A4
YDJC	YDJC	YDJC	YDJC	YDJC
DERL3	DERL3	DERL3	DERL3	DERL3
