CCDS-r9	CCDS-r11	CCDS-r12	CCDS-r14	CCDS-r15
PEF1	PEF1	PEF1	PEF1	PEF1
BAI2	BAI2	BAI2	BAI2	BAI2
SPOCD1	SPOCD1	SPOCD1	SPOCD1	SPOCD1
PTP4A2	PTP4A2	PTP4A2	PTP4A2	PTP4A2
KHDRBS1	KHDRBS1	KHDRBS1	KHDRBS1	KHDRBS1
TMEM39B	TMEM39B	TMEM39B	TMEM39B	TMEM39B
KPNA6	KPNA6	KPNA6	KPNA6	KPNA6
TXLNA	TXLNA	TXLNA	TXLNA	TXLNA
CCDC28B	CCDC28B	CCDC28B	CCDC28B	CCDC28B
IQCC	IQCC	IQCC	IQCC	IQCC
TMEM234	TMEM234	TMEM234	TMEM234	TMEM234
EIF3I	EIF3I	EIF3I	EIF3I	EIF3I
FAM167B	FAM167B	FAM167B	FAM167B	FAM167B
LCK	LCK	LCK	LCK	LCK
HDAC1	HDAC1	HDAC1	HDAC1	HDAC1
MARCKSL1	MARCKSL1	MARCKSL1	MARCKSL1	MARCKSL1
TSSK3	TSSK3	TSSK3	TSSK3	TSSK3
BSDC1	BSDC1	BSDC1	BSDC1	BSDC1
ZBTB8OS	ZBTB8OS	ZBTB8OS	ZBTB8OS	ZBTB8OS
RBBP4	RBBP4	RBBP4	RBBP4	RBBP4
SYNC	SYNC	SYNC	SYNC	SYNC
YARS	YARS	YARS	YARS	YARS
FNDC5	FNDC5	FNDC5	FNDC5	FNDC5
HPCA	HPCA	HPCA	HPCA	HPCA
TMEM54	TMEM54	TMEM54	TMEM54	TMEM54
RNF19B	RNF19B	RNF19B	RNF19B	RNF19B
AK2	AK2	AK2	AK2	AK2
ADC	ADC	ADC	ADC	ADC
TRIM62	TRIM62	TRIM62	TRIM62	TRIM62
ZNF362	ZNF362	ZNF362	ZNF362	ZNF362
PHC2	PHC2	PHC2	PHC2	PHC2
CSMD2	CSMD2	CSMD2	CSMD2	CSMD2
C1orf94	C1orf94	C1orf94	C1orf94	C1orf94
GJB5	GJB5	GJB5	GJB5	GJB5
GJB4	GJB4	GJB4	GJB4	GJB4
GJB3	GJB3	GJB3	GJB3	GJB3
ZMYM6	ZMYM6	ZMYM6	ZMYM6	ZMYM6
SFPQ	SFPQ	SFPQ	SFPQ	SFPQ
ZMYM4	ZMYM4	ZMYM4	ZMYM4	ZMYM4
KIAA0319L	KIAA0319L	KIAA0319L	KIAA0319L	KIAA0319L
NCDN	NCDN	NCDN	NCDN	NCDN
TFAP2E	TFAP2E	TFAP2E	TFAP2E	TFAP2E
PSMB2	PSMB2	PSMB2	PSMB2	PSMB2
C1orf216	C1orf216	C1orf216	C1orf216	C1orf216
CLSPN	CLSPN	CLSPN	CLSPN	CLSPN
EIF2C4	EIF2C4	AGO4	AGO4	AGO4
EIF2C1	EIF2C1	AGO1	AGO1	AGO1
EIF2C3	EIF2C3	AGO3	AGO3	AGO3
TEKT2	TEKT2	TEKT2	TEKT2	TEKT2
ADPRHL2	ADPRHL2	ADPRHL2	ADPRHL2	ADPRHL2
COL8A2	COL8A2	COL8A2	COL8A2	COL8A2
TRAPPC3	TRAPPC3	TRAPPC3	TRAPPC3	TRAPPC3
THRAP3	THRAP3	THRAP3	THRAP3	THRAP3
FAM176B	EVA1B	EVA1B	EVA1B	EVA1B
STK40	STK40	STK40	STK40	STK40
LSM10	LSM10	LSM10	LSM10	LSM10
OSCP1	OSCP1	OSCP1	OSCP1	OSCP1
MRPS15	MRPS15	MRPS15	MRPS15	MRPS15
CSF3R	CSF3R	CSF3R	CSF3R	CSF3R
GRIK3	GRIK3	GRIK3	GRIK3	GRIK3
ZC3H12A	ZC3H12A	ZC3H12A	ZC3H12A	ZC3H12A
MEAF6	MEAF6	MEAF6	MEAF6	MEAF6
SNIP1	SNIP1	SNIP1	SNIP1	SNIP1
DNALI1	DNALI1	DNALI1	DNALI1	DNALI1
GNL2	GNL2	GNL2	GNL2	GNL2
C1orf109	C1orf109	C1orf109	C1orf109	C1orf109
CDCA8	CDCA8	CDCA8	CDCA8	CDCA8
EPHA10	EPHA10	EPHA10	EPHA10	EPHA10
MANEAL	MANEAL	MANEAL	MANEAL	MANEAL
C1orf122	C1orf122	C1orf122	C1orf122	C1orf122
SF3A3	SF3A3	SF3A3	SF3A3	SF3A3
UTP11L	UTP11L	UTP11L	UTP11L	UTP11L
RRAGC	RRAGC	RRAGC	RRAGC	RRAGC
MYCBP	MYCBP	MYCBP	MYCBP	MYCBP
GJA9	GJA9	GJA9	GJA9	GJA9
AKIRIN1	AKIRIN1	AKIRIN1	AKIRIN1	AKIRIN1
NDUFS5	NDUFS5	NDUFS5	NDUFS5	NDUFS5
MACF1	MACF1	MACF1	MACF1	MACF1
BMP8A	BMP8A	BMP8A	BMP8A	BMP8A
PABPC4	PABPC4	PABPC4	PABPC4	PABPC4
HEYL	HEYL	HEYL	HEYL	HEYL
NT5C1A	NT5C1A	NT5C1A	NT5C1A	NT5C1A
HPCAL4	HPCAL4	HPCAL4	HPCAL4	HPCAL4
PPIE	PPIE	PPIE	PPIE	PPIE
BMP8B	BMP8B	BMP8B	BMP8B	BMP8B
OXCT2	OXCT2	OXCT2	OXCT2	OXCT2
MFSD2A	MFSD2A	MFSD2A	MFSD2A	MFSD2A
PPT1	PPT1	PPT1	PPT1	PPT1
